size	SDd[PiBas]	L-SD_d[1C]	L-SD_d[NlogN]	L-SD_d[12N]	L-SD_d[6N]	L-SD_d[3N]	L-SD_d[2N]	x	x2	x	x2
10	 6 	 8 	 7 	663	 7 	 8 	802	?	?		
100	 12 	 15 	 10 	1372	 15 	 19 	2380	?	?		
1000	 73 	 70 	 17 	2395	 32 	 148 	12702	?	?		
10000	 887 	 567 	 27 	3022	 44 	 173 	123174	?	123174		
100000	 10592 	 5662 	 68 	3752	 86 	 299 	?	?			
1000000	 166722	 6020 	 426 	4740	 435 	 1011 	?	166722			
2000000	 ? 	 6324 	 956 	5171	 958 	 1143 	?	320000			
5000000	 ? 	 7783 	 2905 	9326	 2559 	 2635 	?	900000			
			

