ith	SDa[PiBas]	Sda[1C]	SDa[NlogN]
1	18.778	46.84	158.413
2	25.371	73.92	208.351
3	17.609	23.979	71.058
4	44.864	79.457	226.763
5	13.682	28.168	59.492
6	16.35	37.384	134.57
7	12.556	38.521	59.951
8	92.813	119.119	352.095
9	12.592	30.343	68.626
10	30.69	32.392	167.905
11	45.301	30.75	62.572
12	70.806	78.739	268.188
13	19.22	26.026	70.431
14	17.883	48.345	133.347
15	7.233	20.615	67.363
16	171.729	193.382	676.509
17	6.09	26.412	81.122
18	34.857	37.032	151.83
19	14.137	28.368	67.3
20	58.678	48.427	258.265
21	16.11	31.152	79.361
22	27.797	32.831	134.825
23	24.352	34.788	61.884
24	99.755	131.367	369.47
25	11.545	22.577	67.265
26	32.067	33.187	130.147
27	10.705	30.067	67.757
28	44.485	50.87	236.453
29	7.721	36.397	69.511
30	19.303	33.106	142.778
31	8.671	25.14	65.191
32	414.507	477.39	1098.78
33	34.408	26.581	113.548
34	42.564	31.699	219.007
35	12.47	30.32	70.259
36	70.611	65.685	260.668
37	9.962	21.205	78.947
38	29.674	32.237	147.145
39	3.651	26.417	77.783
40	85.678	119.559	355.525
41	10.857	30.988	61.146
42	27.213	48.954	183.217
43	9.354	25.084	71.286
44	72.918	69.41	235.107
45	7.391	27.189	73.424
46	26.435	31.728	150.05
47	18.349	23.247	81.8
48	155.757	151.184	667.842
49	12.827	36.143	96.091
50	33.183	33.632	155.629
51	9.337	50.758	175.78
52	32.761	83.872	263.972
53	11.11	28.278	65.707
54	21.454	33.546	200.825
55	18.292	26.709	100.895
56	65.15	86.136	344.642
57	7.65	39.962	75.759
58	23.52	40.914	127.207
59	9.574	26.266	83.323
60	50.57	73.277	311.335
61	13.002	23.705	78.438
62	25.149	39.987	131.613
63	12.421	28.442	68.832
64	1145.93	1175.86	1862.23
65	20.505	57.383	125.629
66	58.681	55.533	209.956
67	11.647	32.723	59.932
68	63.985	76.201	237.254
69	9.244	27.283	64.623
70	36.206	50.903	139.587
71	13.072	33.435	60.44
72	96.172	142.482	374.684
73	9.226	27.944	75.068
74	13.029	35.995	170.913
75	11.799	21.653	81.307
76	53.218	70.099	264.455
77	11.885	24.007	68.744
78	20.845	33.33	157.324
79	12.796	39.08	71.875
80	152.609	172.219	614.709
81	10.84	26.479	85.541
82	42.521	36.757	141.941
83	15.255	32.298	63.733
84	59.538	48.331	304.86
85	11.36	21.269	82.767
86	19.821	53.871	161.492
87	11.036	23.725	78.451
88	91.154	106.843	342.986
89	11.177	34.553	99.484
90	37.58	29.899	129.854
91	9.876	23.746	86.188
92	52.218	64.059	251.338
93	11.987	20.375	74.638
94	16.68	42.964	149.534
95	5.342	21.382	70.022
96	486.711	492.565	1050.6
97	20.946	57.971	112.3
98	39.272	56.26	214.189
99	28.696	21.653	89.313
100	62.172	64.611	295.097
101	10.308	24.364	68.508
102	14.711	37.223	180.583
103	10.559	38.108	72.401
104	89.454	117.447	368.889
105	19.637	23.866	70.704
106	20.931	43.365	149.482
107	9.06	22.485	68.201
108	55.343	72.579	225.69
109	10.643	22.933	92.207
110	28.761	45.103	155.168
111	10.836	26.965	76.884
112	118.951	187.3	606.702
113	6.487	32.63	86.638
114	40.448	41.728	175.833
115	3.499	27.036	65.127
116	50.176	48.778	255.538
117	11.532	19.996	82.585
118	15.158	45.2	137.699
119	5.893	26.026	72.392
120	79.08	109.4	391.907
121	6.085	47.384	68.418
122	24.209	51.249	159.238
123	11.487	28.71	88.807
124	60.081	71.546	252.675
125	16.352	34.538	73.462
126	20.927	33.334	149.225
127	10.288	28.81	68.371
128	2731.74	2665.21	2648.51
129	18.787	90.597	74.142
130	40.643	52.493	145.432
131	15.53	26.991	69.631
132	55.821	65.298	260.935
